review_id,review_text,sentiment
R1000,I am so happy with my bluetooth speaker purchase. Works perfectly and looks great.,Positive
R1001,"Excellent yoga mat! Easy to use, well designed, and durable.",Positive
R1002,The bluetooth speaker arrived on time and was as described. Nothing more to say really.,Neutral
R1003,My desk lamp is functional. It could use some improvements in design though.,Neutral
R1004,My portable fan is functional. It could use some improvements in design though!!,Neutral
R1005,Worst meal prep containers I have ever purchased. Totally useless product.,Negative
R1006,This phone charger is fantastic. Best purchase I have made all year.,Positive
R1007,Stay away from this phone charger! It is overpriced and underperforms.,Negative
R1008,Great screen protector for the price. Highly recommend to anyone looking for a quality product.,Positive
R1009,Average coffee maker performs as expected. No complaints but no surprises.,Neutral
R1010,This tablet stand is alright. I have seen better but I have also seen worse.,Neutral
R1011,This wireless headphones is fantastic. Best purchase I have made all year.,Positive
R1012,The screen protector does what it is supposed to do. That is about it.,Neutral
R1013,Perfect wireless headphones! It does everything I wanted and more.,Positive
R1014,Very disappointed with this portable fan. The quality is just not there.,Negative
R1015,Absolutely love this coffee maker! It exceeded all my expectations.,Positive
R1016,This yoga mat is alright. I have seen better but I have also seen worse.,Neutral
R1017,Five stars! This wireless headphones is amazing and arrived quickly.,Positive
R1018,This phone charger is fantastic. Best purchase I have made all year.,Positive
R1019,Very satisfied with this portable fan. Exactly what I needed and more.,Positive
R1020,Completely dissatisfied with this laptop backpack. Do not recommend it to anyone.,Negative
R1021,The desk lamp is horrible. Customer service was no help either.,Negative
R1022,Best mouse pad I have ever owned. The quality is top notch.,Positive
R1023,The running shoes does what it is supposed to do. That is about it!!,Neutral
R1024,I have mixed feelings about this desk lamp. It has some good features but also some drawbacks.,Neutral
R1025,Decent smartphone case for the money. Not great but not terrible either.,Neutral
R1026,My smartphone case is functional. It could use some improvements in design though.,Neutral
R1027,I cannot believe how good this running shoes is. Totally worth every penny.,Positive
R1028,Absolutely love this yoga mat! It exceeded all my expectations.,Positive
R1029,Completely dissatisfied with this wireless headphones. Do not recommend it to anyone!!,Negative
R1030,My meal prep containers is functional. It could use some improvements in design though!!,Neutral
R1031,Very satisfied with this screen protector. Exactly what I needed and more.,Positive
R1032,Very disappointed with this water bottle. The quality is just not there.,Negative
R1033,I cannot believe how good this running shoes is. Totally worth every penny!!,Positive
